OS X -- OS X

8192,4
4096,9
2048,19
1024,39
512,78
256,153
128,291
64,525
32,657
16,657
8,657

Linux -- Linux

32768,2
16384,5
8192,12
4096,25
2048,48
1024,88
512,148
256,222
128,297
64,357
32,397
16,397
8,397

OS X -- Linux (wireless ethernet)

8192,745
4096,576
2048,31
1024,64
512,64
256,64
128,274
64,324
32,357
16,397
8,397
